participant_ID,block,correct_val_IR,wrong_IR,missed_val,threshold,is_valid
307,1,10,14,0,7.0,True
307,2,10,2,0,1.0,True
307,3,10,5,0,2.5,True
308,1,10,15,0,7.5,True
308,2,10,10,0,5.0,True
308,3,10,9,0,4.5,True
309,1,9,3,1,2.5,True
309,2,6,0,4,4.0,True
309,3,6,2,4,5.0,True
310,1,9,6,1,4.0,True
310,2,8,4,2,4.0,True
310,3,9,1,1,1.5,True
311,1,10,10,0,5.0,True
311,2,10,4,0,2.0,True
311,3,10,1,0,0.5,True
312,1,10,5,0,2.5,True
312,2,9,5,1,3.5,True
312,3,10,8,0,4.0,True
313,1,10,15,0,7.5,True
313,2,10,17,0,8.5,True
313,3,10,16,0,8.0,True
314,1,10,10,0,5.0,True
314,2,10,3,0,1.5,True
314,3,9,3,1,2.5,True
316,1,10,8,0,4.0,True
316,2,10,3,0,1.5,True
316,3,10,7,0,3.5,True
317,1,9,13,1,7.5,True
317,2,10,8,0,4.0,True
317,3,8,6,2,5.0,True
318,1,10,10,0,5.0,True
318,2,10,3,0,1.5,True
318,3,10,2,0,1.0,True
322,1,9,9,1,5.5,True
322,2,10,11,0,5.5,True
322,3,8,6,2,5.0,True
323,1,10,7,0,3.5,True
323,2,10,0,0,0.0,True
323,3,10,0,0,0.0,True
325,1,10,8,0,4.0,True
325,2,9,4,1,3.0,True
325,3,9,1,1,1.5,True
326,1,10,6,0,3.0,True
326,2,9,6,1,4.0,True
326,3,10,4,0,2.0,True
327,1,10,10,0,5.0,True
327,2,10,2,0,1.0,True
327,3,10,0,0,0.0,True
328,1,10,11,0,5.5,True
328,2,10,4,0,2.0,True
328,3,9,1,1,1.5,True
329,1,9,5,1,3.5,True
329,2,10,5,0,2.5,True
329,3,9,1,1,1.5,True
330,1,10,16,0,8.0,True
330,2,9,9,1,5.5,True
330,3,9,1,1,1.5,True
331,1,10,5,0,2.5,True
331,2,8,1,2,2.5,True
331,3,9,1,1,1.5,True
333,1,10,7,0,3.5,True
333,2,10,18,0,9.0,True
333,3,10,18,0,9.0,True
339,1,10,12,0,6.0,True
339,2,10,13,0,6.5,True
339,3,10,13,0,6.5,True
340,1,10,7,0,3.5,True
340,2,10,1,0,0.5,True
340,3,10,0,0,0.0,True
342,1,10,17,0,8.5,True
342,2,10,16,0,8.0,True
342,3,10,12,0,6.0,True
343,1,10,12,0,6.0,True
343,2,10,16,0,8.0,True
343,3,10,5,0,2.5,True
344,1,10,5,0,2.5,True
344,2,10,2,0,1.0,True
344,3,10,1,0,0.5,True
346,1,9,15,1,8.5,True
346,2,9,18,1,10.0,False
346,3,9,13,1,7.5,True
350,1,10,5,0,2.5,True
350,2,10,0,0,0.0,True
350,3,10,4,0,2.0,True
351,1,10,10,0,5.0,True
351,2,10,8,0,4.0,True
351,3,10,7,0,3.5,True
354,1,10,7,0,3.5,True
354,2,9,2,1,2.0,True
354,3,9,1,1,1.5,True
355,1,10,3,0,1.5,True
355,2,10,1,0,0.5,True
355,3,10,4,0,2.0,True
356,1,10,8,0,4.0,True
356,2,9,2,1,2.0,True
356,3,10,4,0,2.0,True
361,1,10,5,0,2.5,True
361,2,10,5,0,2.5,True
361,3,10,1,0,0.5,True
362,1,9,8,1,5.0,True
362,2,8,1,2,2.5,True
362,3,9,3,1,2.5,True
363,1,10,11,0,5.5,True
363,2,9,7,1,4.5,True
363,3,10,1,0,0.5,True
364,1,8,1,2,2.5,True
364,2,8,3,2,3.5,True
364,3,10,1,0,0.5,True
366,1,9,13,1,7.5,True
366,2,10,9,0,4.5,True
366,3,9,4,1,3.0,True
367,1,10,18,0,9.0,True
367,2,10,20,0,10.0,False
367,3,10,13,0,6.5,True
368,1,10,2,0,1.0,True
368,2,10,3,0,1.5,True
368,3,10,1,0,0.5,True
369,1,10,10,0,5.0,True
369,2,9,3,1,2.5,True
369,3,6,1,4,4.5,True
370,1,10,11,0,5.5,True
370,2,8,7,2,5.5,True
370,3,10,3,0,1.5,True
371,1,8,3,2,3.5,True
371,2,9,4,1,3.0,True
371,3,8,3,2,3.5,True
372,1,10,6,0,3.0,True
372,2,7,2,3,4.0,True
372,3,10,1,0,0.5,True
373,1,10,20,0,10.0,False
373,2,10,17,0,8.5,True
373,3,10,11,0,5.5,True
374,1,8,7,2,5.5,True
374,2,10,11,0,5.5,True
374,3,9,3,1,2.5,True
375,1,10,6,0,3.0,True
375,2,10,2,0,1.0,True
375,3,10,1,0,0.5,True
377,1,10,11,0,5.5,True
377,2,9,9,1,5.5,True
377,3,9,6,1,4.0,True
378,1,9,9,1,5.5,True
378,2,10,2,0,1.0,True
378,3,10,0,0,0.0,True
379,1,9,8,1,5.0,True
379,2,9,4,1,3.0,True
379,3,9,1,1,1.5,True
380,1,8,5,2,4.5,True
380,2,9,1,1,1.5,True
380,3,10,2,0,1.0,True
381,1,10,15,0,7.5,True
381,2,10,12,0,6.0,True
381,3,10,8,0,4.0,True
382,1,10,6,0,3.0,True
382,2,9,4,1,3.0,True
382,3,10,3,0,1.5,True
383,1,10,13,0,6.5,True
383,2,10,6,0,3.0,True
383,3,10,5,0,2.5,True
384,1,10,8,0,4.0,True
384,2,10,1,0,0.5,True
384,3,9,0,1,1.0,True
386,1,8,3,2,3.5,True
386,2,9,1,1,1.5,True
386,3,9,3,1,2.5,True
390,1,9,7,1,4.5,True
390,2,10,2,0,1.0,True
390,3,8,7,2,5.5,True
391,1,10,7,0,3.5,True
391,2,10,4,0,2.0,True
391,3,10,0,0,0.0,True
392,1,10,14,0,7.0,True
392,2,9,8,1,5.0,True
392,3,10,4,0,2.0,True
395,1,10,8,0,4.0,True
395,2,8,4,2,4.0,True
395,3,10,1,0,0.5,True
396,1,10,3,0,1.5,True
396,2,10,2,0,1.0,True
396,3,10,1,0,0.5,True
397,1,10,4,0,2.0,True
397,2,10,2,0,1.0,True
397,3,10,0,0,0.0,True
398,1,9,10,1,6.0,True
398,2,8,5,2,4.5,True
398,3,10,1,0,0.5,True
